date,source,server,low,q1,md,q3,high
2025-05-28,op-hk8a,public,190,3524,5377,7231,12710
2025-05-28,op-hk8a-conflux,public,148,4877,7767,10754,19065
2025-05-28,op-us8a,public,101,4072,7489,11335,22075
2025-05-28,op-us8a-conflux,public,43,4821,9118,14463,27962
2025-05-29,op-de8a,public,171,6765,11335,18236,34952
2025-05-29,op-de8a-conflux,public,277,8224,13981,26214,52428
2025-05-29,op-hk8a,public,154,3994,5518,7231,11983
2025-05-29,op-hk8a-conflux,public,90,4766,7840,10754,19065
2025-05-29,op-us8a,public,126,5053,8559,12336,22075
2025-05-29,op-us8a-conflux,public,338,6260,10754,17476,32263
2025-05-30,op-de8a,public,338,6056,10485,16777,32263
2025-05-30,op-de8a-conflux,public,690,8224,14979,26214,52428
2025-05-30,op-hk8a,public,155,3703,5447,7358,12710
2025-05-30,op-hk8a-conflux,public,149,4739,7358,9754,16777
2025-05-30,op-us8a,public,154,4621,7626,11335,20971
2025-05-30,op-us8a-conflux,public,132,6452,11983,17476,32263
2025-05-31,op-de8a,public,432,6657,11335,19972,38130
2025-05-31,op-de8a-conflux,public,454,8388,14979,24672,46603
2025-05-31,op-hk8a,public,223,3679,5518,7358,12710
2025-05-31,op-hk8a-conflux,public,149,4993,7294,9754,16777
2025-05-31,op-us8a,public,112,4236,6990,10754,19972
2025-05-31,op-us8a-conflux,public,264,6553,10754,16131,29959
2025-06-01,op-de8a,public,190,5907,10754,17476,32263
2025-06-01,op-de8a-conflux,public,488,8924,16131,27962,52428
2025-06-01,op-hk8a,public,176,3883,5377,7108,11650
2025-06-01,op-hk8a-conflux,public,153,5648,8065,11037,19065
2025-06-01,op-us8a,public,118,3576,7767,11335,22075
2025-06-01,op-us8a-conflux,public,154,5592,9754,15534,29959
2025-06-02,op-de8a,public,139,5907,9986,17476,32263
2025-06-02,op-de8a-conflux,public,307,7489,13530,24672,46603
2025-06-02,op-hk8a,public,282,3531,5309,7108,12336
2025-06-02,op-hk8a-conflux,public,193,5907,8306,11037,18236
2025-06-02,op-us8a,public,123,5115,8306,11335,19972
2025-06-02,op-us8a-conflux,public,143,6765,10754,15534,27962
2025-06-03,op-de8a,public,137,7767,12710,20971,38130
2025-06-03,op-de8a-conflux,public,898,10754,19065,34952,69905
2025-06-03,op-hk8a,public,296,4660,6260,8388,13530
2025-06-03,op-hk8a-conflux,public,193,5464,8224,10754,18236
2025-06-03,op-us8a,public,132,6684,9986,13530,23301
2025-06-03,op-us8a-conflux,public,145,8388,12710,19065,34952
2025-06-04,op-de8a,public,272,11650,19065,27962,52428
2025-06-04,op-de8a-conflux,public,341,12710,23301,41943,83886
2025-06-04,op-hk8a,public,424,4821,6355,8224,12710
2025-06-04,op-hk8a-conflux,public,56,6452,8738,11335,18236
2025-06-04,op-us8a,public,304,7626,10485,13981,23301
2025-06-04,op-us8a-conflux,public,104,10485,15534,20971,34952
2025-06-05,op-de8a,public,570,11650,19065,27962,52428
2025-06-05,op-de8a-conflux,public,442,14979,24672,38130,69905
2025-06-05,op-hk8a,public,178,4559,6355,8559,13981
2025-06-05,op-hk8a-conflux,public,305,6553,9320,11983,19972
2025-06-05,op-us8a,public,363,7626,11037,14463,24672
2025-06-05,op-us8a-conflux,public,121,8559,13981,19972,34952
2025-06-06,op-de8a,public,128,8738,16131,26214,52428
2025-06-06,op-de8a-conflux,public,657,14979,26214,41943,69905
2025-06-06,op-hk8a,public,175,4369,6078,8065,13530
2025-06-06,op-hk8a-conflux,public,626,6765,9532,12247,19972
2025-06-06,op-us8a,public,120,7767,11037,14979,24672
2025-06-06,op-us8a-conflux,public,463,11335,15534,20971,34952
2025-06-07,op-de8a,public,282,10754,17476,26214,46603
2025-06-07,op-de8a-conflux,public,665,13530,23301,41943,83886
2025-06-07,op-hk8a,public,192,4739,6355,8388,13530
2025-06-07,op-hk8a-conflux,public,479,7294,9532,11983,18236
2025-06-07,op-us8a,public,129,8224,11650,14979,24672
2025-06-07,op-us8a-conflux,public,146,9986,15534,20971,34952
2025-06-08,op-de8a,public,141,7913,14463,23301,41943
2025-06-08,op-de8a-conflux,public,336,13981,25443,46603,83886
2025-06-08,op-hk8a,public,190,4486,6260,7913,12710
2025-06-08,op-hk8a-conflux,public,63,5447,8388,11650,19972
2025-06-08,op-us8a,public,115,7489,10754,14463,24672
2025-06-08,op-us8a-conflux,public,223,8559,14463,19972,34952
2025-06-09,op-de8a,public,179,8924,14979,24672,46603
2025-06-09,op-de8a-conflux,public,219,14979,26214,41943,69905
2025-06-09,op-hk8a,public,321,4673,5991,7876,12336
2025-06-09,op-hk8a-conflux,public,172,6711,9320,12336,19972
2025-06-09,op-us8a,public,126,6657,9986,13530,23301
2025-06-09,op-us8a-conflux,public,134,11335,16777,22075,38130
2025-06-10,op-de8a,public,310,10230,16777,24672,41943
