log_file_path,iteration_no,tor_status,location,codec,caller_pesq_raw,caller_pesq_mos,callee_pesq_raw,callee_pesq_mos,caller_jitter_mean,caller_jitter_median,caller_jitter_max,caller_jitter_range,caller_jitter_iqr,caller_jitter_std_dev,callee_jitter_mean,callee_jitter_median,callee_jitter_max,callee_jitter_range,callee_jitter_iqr,callee_jitter_std_dev
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,19,Tor,3Bangl-nyc,g711,3.278,3.235,2.803,2.536,27.9246251851852,27.418,53.824,53.824,3.37425,4.22188481005846,31.7147123088128,31.28,57.728,57.728,3.525,4.43621039959192
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,20,Tor,3Bangl-nyc,g711,3.206,3.13,3.07,2.926,24.2833051851852,23.7805,46.777,46.777,2.26675,3.60349741860029,28.1427038657914,27.746,50.795,50.795,2.66999999999999,4.04246040022942
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,21,Tor,3Bangl-nyc,g711,3.163,3.065,3.116,2.996,23.8220866666667,23.6045,36.687,36.687,2.345,2.8593206299198,31.4061903367496,31.3705,50.794,50.794,2.7685,3.78763554730432
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,22,Tor,3Bangl-nyc,g711,3.209,3.134,3.236,3.174,24.7732511111111,24.4585,40.847,40.847,2.6,3.09606576505599,23.9430882567469,23.734,35.555,35.555,2.2135,2.74436891051888
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,23,Tor,3Bangl-nyc,g711,3.107,2.981,2.97,2.778,24.0801607407407,23.9265,33.757,33.757,2.67125,2.91287179998409,31.1180540935673,31.299,39.422,39.422,2.47125000000001,3.02825901803656
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,24,Tor,3Bangl-nyc,g711,3.043,2.886,2.912,2.692,24.3577851851852,23.9975,37.406,37.406,2.741,2.91807046127716,28.0645377842993,27.873,48.756,48.756,2.445,3.67104831210943
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,25,Tor,3Bangl-nyc,g711,3.137,3.027,3.072,2.929,24.3693274074074,24.1335,36.363,36.363,2.73525,2.86565650140624,23.7464510233918,23.498,39.069,39.069,1.87025,2.6241783925789
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,26,Tor,3Bangl-nyc,g711,3.103,2.975,2.651,2.328,24.2512614814815,23.9375,37.258,37.258,2.2015,2.92069102614398,27.3727616959064,27.2105,37.407,37.407,2.43575,2.94991147652295
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,27,Tor,3Bangl-nyc,g711,3.177,3.086,3.246,3.19,23.9631177777778,23.7975,35.417,35.417,2.43475,2.83109897699618,23.6102351648352,23.41,33.529,33.529,1.827,2.46527812810424
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,28,Tor,3Bangl-nyc,g711,3.27,3.225,3.174,3.081,23.1438459259259,23.028,32.765,32.765,1.58375,2.38102153948664,23.7598913362702,23.5315,47.546,47.546,1.9095,3.04868427239342
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,29,Tor,3Bangl-nyc,g711,2.935,2.727,2.942,2.737,24.513937037037,24.0945,43.432,43.432,2.5315,3.45349615675272,31.8627692307692,31.828,57.375,57.375,2.324,3.70917561687552
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,30,Tor,3Bangl-nyc,g711,3.158,3.058,2.975,2.785,23.7077911111111,23.437,35.372,35.372,2.03875,2.6705769347906,31.2729230769231,31.156,49.97,49.97,2.423,3.59664718206966
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,31,Tor,3Bangl-nyc,g711,3.151,3.048,2.862,2.621,24.5416059259259,24.113,41.343,41.343,2.377,3.31178046622223,30.9789655929722,30.9795,46.317,46.317,2.64725,3.31623428161173
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/3Bangl-nyc/caller/log.json,32,Tor,3Bangl-nyc,g711,3.217,3.145,2.943,2.737,23.909809347181,23.6435,37.38,37.38,2.155,2.82598536677845,27.6766434336023,27.647,39.198,39.198,2.4975,3.02166553210177
